religion,social_group,sector,gender,marital_status,day_of_week,principal_activity_status,activity_type,n_total_persons,n_participants,participation_rate,total_minutes,mean_minutes_per_participant,mean_minutes_per_person
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked in household enterprise (self-employed): own account worker,Employment and related activities,49,41,.83673471,17370,423.6585365853659,354.48981
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked in household enterprise (self-employed): own account worker,Production of goods for own final use,49,12,.24489796,1950,162.5,39.795918
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked in household enterprise (self-employed): own account worker,Unpaid domestic services for household members,49,14,.2857143,1860,132.8571428571429,37.959183
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked in household enterprise (self-employed): own account worker,"Socializing and communication, community participation and religious practice",49,48,.97959185,9000,187.5,183.67346
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked in household enterprise (self-employed): own account worker,"Culture, leisure, mass-media and sports practices",49,49,1,10320,210.6122448979592,210.61224
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked in household enterprise (self-employed): own account worker,Self-care and maintenance,49,49,1,36780,750.6122448979592,750.61224
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as helper in household enterprise (unpaid family worker),Employment and related activities,49,34,.69387758,13710,403.2352941176471,279.79593
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as helper in household enterprise (unpaid family worker),Production of goods for own final use,49,16,.32653061,2880,180,58.775509
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as helper in household enterprise (unpaid family worker),Unpaid domestic services for household members,49,10,.20408164,780,78,15.918367
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as helper in household enterprise (unpaid family worker),"Socializing and communication, community participation and religious practice",49,48,.97959185,11880,247.5,242.44897
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as helper in household enterprise (unpaid family worker),"Culture, leisure, mass-media and sports practices",49,49,1,12690,258.9795918367347,258.97958
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as helper in household enterprise (unpaid family worker),Self-care and maintenance,49,49,1,36540,745.7142857142857,745.71429
Hinduism,scheduled tribe,Rural,male,never married,Monday,worked as regular salaried/ wage employee,Employment and related activities,29,28,.96551722,15690,560.3571428571429,541.03448
